Nume,Plastic,Hartie,Carti,Sticla,Metal,Haine,Electronice,Electrocasnice,Ochelari,Baterii,Vapes,Vopsea,Automobile,Antigel,Ulei,Moloz,Telefon,ZileLucrate,Program,Adresa,Latitudine,Longitudine,Descriere
Lensa,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0371.525.777,Luni Marti Miercuri Joi Vineri,09:00-21:00,Calea Floreasca 246B Bucuresti 014476,44.478274,26.104146,Ochelarii vechi chiar incurca! Dar nu trebuie sa ne crezi pe cuvant. Intra in posesia VOUCHERELOR!
eColectare,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0742.568.092,Luni Marti Miercuri Joi Vineri,10:00-17:00,Str. Pavel Ceamur Popesti-Leordeni 077160,44.367671,26.178568,O masina de spalat are o greutate medie de peste 60kg si efortul de a o arunca la gunoi (desi este ilegal si te poti alege cu o amenda) este mai mare decat acela de a ne chema pe noi pentru a o ridica gratuit de la domiciliu!
Environ,Nu,Nu,Nu,Nu,Nu,Nu,Da,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0318.270.000,Luni Marti Miercuri Joi Vineri,09:00-17:30,Str. Aromei 88 Bucuresti 023786,44.465001,26.114586,Echipament electric reprezinta orice tip de produs electric sau electronic care functioneaza pe baza de curent electric sau baterie. Deseu electric reprezinta acel produs ajuns la finalul ciclului de viata.
H&M,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0314.470.820,Luni Marti Miercuri Joi Vineri Sambata Duminica,10:00-22:00,Bd. Timisoara 26 Bucuresti 061331,44.429045,26.033649,Programul nostru de colectare a hainelor se desfasoara din 2013 si avem cutii de reciclare in magazinele noastre din intreaga lume.
H&M,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0314.370.857,Luni Marti Miercuri Joi Vineri Sambata Duminica,10:00-22:00,Piata Unirii 1 Bucuresti 030119,44.427476,26.104263,Programul nostru de colectare a hainelor se desfasoara din 2013 si avem cutii de reciclare in magazinele noastre din intreaga lume.
H&M,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0314.260.752,Luni Marti Miercuri Joi Vineri Sambata Duminica,10:00-22:00,Str. Vacaresti 391 Bucuresti 040055,44.394014,26.122854,Programul nostru de colectare a hainelor se desfasoara din 2013 si avem cutii de reciclare in magazinele noastre din intreaga lume.
Anticariat Galeriile Cismigiu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0741.234.549,Luni Marti Miercuri Joi Vineri,11:00-19:00,Str. Ion Brezoianu 29 Bucuresti 010131,44.436273,26.094614,Cartile de care nimeni nu-si mai aminteste si cartile care s-au pierdut in timp traiesc pentru todeauna asteptand sa ajunga intr-o buna zi in mainile unui nou cititor si al unui nou spirit.
Targul Cartii,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0213.081.776,Luni Marti Miercuri Joi Vineri Sambata Duminica,09:00-21:00,Bd. Gheorghe Sincai 1-1A Bucuresti 040311,44.414915,26.104594,Te-ai intrebat vreodata ce sau mai degraba cine se afla in spatele unei carti cumparate dintr-un anticariat online? Ei bine in cazul de fata se afla o echipa formata din tineri energici si pasionati cu simtul raspunderii.
Green Glass,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0213.611.983,Luni Marti Miercuri Joi Vineri,08:00-17:00,Sos. Oltenitei 181 Popesti-Leordeni 077160,44.368187,26.196352,Pentru fiecare tona de sticla reciclata se evita producerea a circa 315kg de emisii de carbon cu efect de sera se economisesc 600kg de nisip si consumul menajer de apa al unui locuitor pentru 4 zile.
Lion Recycle,Da,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0770.489.065,Luni Marti Miercuri Joi Vineri,08:00-17:00,Str. Preciziei 7 Bucuresti 622022,44.430384,25.986271,Acest articol isi propune exact acest lucru astfel ca mai jos vei afla mai multe detalii despre colectare si reciclare plastic si hartie si carton.
